TERM,SNOMED_ID,MEDIAN_DIAGNOSIS_AGE,MEDIAN_SNOMED_AGE,N_PATIENT_COUNT,N_PATIENT_COUNT_TOTAL,PREVALENCE,TOTAL_EVENT_COUNT,AVG_EVENTS_PER_PATIENT,AVG_VALUE,MEDIAN_VALUE,STD_VALUE,FREQ_VALUE
Email sent to outside agency,408562003,79.000,78.000,252,6480,0.038889,486,1.93,NaN,NaN,NaN,NaN
Clotting screening test,991871000000101,75.000,74.000,247,6480,0.038117,287,1.16,NaN,NaN,NaN,NaN
Seen in dermatology clinic,270422009,78.000,77.000,247,6480,0.038117,483,1.96,NaN,NaN,NaN,NaN
O/E - left dorsalis pedis normal,414891006,75.000,74.500,246,6480,0.037963,260,1.06,NaN,NaN,NaN,NaN
O/E - right dorsalis pedis normal,414907000,75.500,75.000,246,6480,0.037963,260,1.06,NaN,NaN,NaN,NaN
HbA1c level (Diabetes Control and Complications Trial aligned),1019431000000105,69.000,68.000,245,6480,0.037809,369,1.51,NaN,6.6,NaN,6.4
Microscopic haematuria,197940006,74.000,74.000,244,6480,0.037654,323,1.32,NaN,NaN,NaN,NaN
Serum iron level,1019351000000105,78.000,77.000,243,6480,0.0375,291,1.2,NaN,13.9,NaN,15
Open access service,310065000,78.000,77.000,241,6480,0.037191,304,1.26,NaN,NaN,NaN,NaN
IgM,997021000000104,77.000,77.000,241,6480,0.037191,272,1.13,1.19634981,0.8,1.717660063,0.7
Serum urate level,1001021000000101,72.000,71.500,239,6480,0.036883,282,1.18,NaN,319,NaN,0.38
Heart rate,364075005,78.000,77.000,238,6480,0.036728,286,1.2,76.494736842,76,15.24347495,80
Notes summary on computer,184229000,63.000,62.500,237,6480,0.036574,252,1.06,NaN,NaN,NaN,NaN
Activated partial thromboplastin time ratio,1001421000000107,74.000,74.000,236,6480,0.03642,251,1.06,NaN,1,NaN,0.9
IgG,997011000000105,77.000,76.000,234,6480,0.036111,267,1.14,11.469765625,10.7,3.869422405,10.3
AUDIT-C score - frequency of drinking alcohol,1899511000006107,74.000,73.000,230,6480,0.035494,243,1.06,2.119341564,2,1.473651638,4
Administration,416118004,76.000,75.000,228,6480,0.035185,493,2.16,NaN,NaN,NaN,NaN
Diabetes monitoring first letter,185756006,72.000,72.000,225,6480,0.034722,259,1.15,NaN,NaN,NaN,NaN
Implied consent for core Summary Care Record dataset upload,773011000000101,68.000,68.000,223,6480,0.034414,224,1,NaN,NaN,NaN,NaN
Abdominal pain,21522001,69.000,68.000,223,6480,0.034414,367,1.65,NaN,NaN,NaN,NaN
Serum total 25-hydroxy vitamin D level,1007991000000105,73.000,72.000,223,6480,0.034414,250,1.12,56.647368421,55,28.074596899,68
Additional note,37361000000105,76.000,75.000,222,6480,0.034259,523,2.36,NaN,NaN,NaN,NaN
Urine protein test = trace,167274008,72.000,72.000,222,6480,0.034259,247,1.11,NaN,NaN,NaN,NaN
AUDIT-C score-freq drunk 6+units (fem)/8+units (male) last yr,1899531000006101,74.000,73.000,222,6480,0.034259,234,1.05,0.4188034188,0,0.9912866416,0
Peak expiratory flow rate,18491006,70.000,70.000,221,6480,0.034105,286,1.29,353.336631579,340,123.017409669,300
Agreeing on diabetes care plan,703040004,76.000,75.000,221,6480,0.034105,277,1.25,NaN,NaN,NaN,NaN
Diagnostic cystoscopy,176178006,69.000,68.000,221,6480,0.034105,251,1.14,NaN,NaN,NaN,NaN
O/E - no left diabetic retinopathy,390853009,74.000,74.000,220,6480,0.033951,229,1.04,NaN,NaN,NaN,NaN
AUDIT-C score - units of alcohol drunk on a typical day,1899521000006104,74.000,73.000,220,6480,0.033951,232,1.05,0.6379310345,0,0.9838219644,0
Urinalysis = abnormal,167222005,73.000,72.000,219,6480,0.033796,275,1.26,NaN,NaN,NaN,NaN
O/E - Left posterior tibial pulse normal,414896001,75.000,74.500,217,6480,0.033488,228,1.05,NaN,NaN,NaN,NaN
O/E - right posterior tibial pulse normal,414912004,76.000,75.000,217,6480,0.033488,229,1.06,NaN,NaN,NaN,NaN
O/E - no right diabetic retinopathy,390850007,74.000,74.000,216,6480,0.033333,223,1.03,NaN,NaN,NaN,NaN
Community health services,413294000,80.000,79.000,216,6480,0.033333,278,1.29,NaN,NaN,NaN,NaN
"eMED3 (2010) new statement issued, not fit for work",751481000000104,60.000,60.000,215,6480,0.033179,522,2.43,NaN,NaN,NaN,NaN
Transferrin saturation index,991831000000103,78.000,77.000,213,6480,0.03287,260,1.22,24.676419214,22,14.865822787,16
Predicted peak expiratory flow rate using EN 13826 standard,178271000000100,72.000,72.000,213,6480,0.03287,250,1.17,471.716,478.5,86.537937359,476
Low back pain,279039007,71.000,70.000,211,6480,0.032562,324,1.54,NaN,NaN,NaN,NaN
Skin lesion,95324001,76.000,76.000,211,6480,0.032562,301,1.43,NaN,NaN,NaN,NaN
"CHA2DS2-VASc (congestive heart failure, hypertension, age 2, diabetes mellitus, stroke 2, vascular disease, age, sex category) stroke risk score",735259005,78.000,78.000,210,6480,0.032407,264,1.26,3.257692308,3,1.710443298,3
Seen in cardiology clinic,185228002,76.000,76.000,209,6480,0.032253,341,1.63,NaN,NaN,NaN,NaN
Dysuria,49650001,71.000,71.000,207,6480,0.031944,274,1.32,NaN,NaN,NaN,NaN
Blood oxygen saturation,103228002,78.000,78.000,206,6480,0.03179,281,1.36,160.68683274,97,752.871129271,98
Urine protein test = ++,167276005,74.000,73.000,206,6480,0.03179,227,1.1,NaN,NaN,NaN,NaN
Calcium profile,993131000000109,76.000,76.000,206,6480,0.03179,258,1.25,NaN,NaN,NaN,NaN
Acute kidney injury warning stage,1007921000000107,76.000,76.000,203,6480,0.031327,349,1.72,NaN,0,NaN,0
Non-diabetic hyperglycaemia,700449008,75.000,75.000,201,6480,0.031019,249,1.24,NaN,NaN,NaN,NaN
12 lead ECG,268400002,75.000,74.000,200,6480,0.030864,222,1.11,NaN,NaN,NaN,NaN
Serum transferrin level,999641000000109,78.000,77.000,200,6480,0.030864,242,1.21,2.517208333,2.495,0.4820095208,2.4
Out of hours report,25781000000108,77.000,77.000,197,6480,0.030401,268,1.36,NaN,NaN,NaN,NaN
Urine nitrite positive,314137006,74.000,74.000,197,6480,0.030401,294,1.49,NaN,NaN,NaN,NaN
Lifestyle advice regarding diet,443288003,74.000,73.000,196,6480,0.030247,228,1.16,NaN,NaN,NaN,NaN
GPPAQ hours in last week spent cycling - none,1746291000006102,72.500,72.000,196,6480,0.030247,206,1.05,NaN,NaN,NaN,NaN
Forced expired volume in 1 second,59328004,72.000,71.000,195,6480,0.030093,225,1.15,2.692088889,1.8,7.877904317,1.8
Patient informed - test result,165355002,73.000,72.000,191,6480,0.029475,279,1.46,NaN,NaN,NaN,NaN
Coronary heart disease annual review,315614006,77.000,76.000,191,6480,0.029475,208,1.09,NaN,NaN,NaN,NaN
Hypertension monitoring,275944005,73.000,72.000,191,6480,0.029475,234,1.23,NaN,NaN,NaN,NaN
Blood test due,165349007,74.000,73.000,190,6480,0.029321,244,1.28,NaN,NaN,NaN,NaN
E-mail sent to patient,401271004,74.000,74.000,190,6480,0.029321,869,4.57,NaN,NaN,NaN,NaN
Email sent to patient,401271004,76.000,75.000,189,6480,0.029167,370,1.96,NaN,NaN,NaN,NaN
Orthopaedic referral,183545006,73.000,73.000,188,6480,0.029012,229,1.22,NaN,NaN,NaN,NaN
Suspected urological cancer,397657005,75.000,75.000,188,6480,0.029012,193,1.03,NaN,NaN,NaN,NaN
Phlebotomy generated from secondary care done by practice,165791000000107,79.000,78.000,187,6480,0.028858,316,1.69,NaN,NaN,NaN,NaN
Diagnostic cystoscopy using flexible instrument,176185005,71.000,71.000,184,6480,0.028395,192,1.04,NaN,NaN,NaN,NaN
Advice given about weight management,698471002,73.500,73.000,184,6480,0.028395,204,1.11,NaN,NaN,NaN,NaN
Urine Microscopy: white cells,271350002,73.000,73.000,182,6480,0.028086,339,1.86,529.1953125,40.5,1641.870714184,1
Standard ECG,164847006,74.000,74.000,182,6480,0.028086,207,1.14,NaN,NaN,NaN,NaN
Image (document),25831000000103,70.000,70.000,181,6480,0.027932,961,5.31,NaN,NaN,NaN,NaN
Urine examination,1014751000000108,74.000,74.000,180,6480,0.027778,303,1.68,NaN,NaN,NaN,NaN
Finding related to casts on urine microscopy,365689007,72.000,71.000,180,6480,0.027778,324,1.8,NaN,1,NaN,0
Urine microalbumin profile,994621000000103,77.000,76.000,180,6480,0.027778,261,1.45,NaN,NaN,NaN,NaN
Brief intervention for physical activity completed,375031000000109,71.000,71.000,180,6480,0.027778,204,1.13,NaN,NaN,NaN,NaN
Enjoys moderate exercise,160632008,69.000,69.000,180,6480,0.027778,191,1.06,NaN,NaN,NaN,NaN
OOH report,25781000000108,72.000,72.000,179,6480,0.027623,227,1.27,NaN,NaN,NaN,NaN
Seen in minor injuries department,113091000000109,74.000,74.000,179,6480,0.027623,257,1.44,NaN,NaN,NaN,NaN
Calculated LDL (low density lipoprotein) cholesterol level,1014501000000104,72.000,72.000,179,6480,0.027623,204,1.14,2.37,2.2,0.897196639,1.8
Painless haematuria,197938001,67.500,67.500,178,6480,0.027469,250,1.4,NaN,NaN,NaN,NaN
Asthma,195967001,70.000,69.000,178,6480,0.027469,285,1.6,NaN,NaN,NaN,NaN
10g monofilament sensation present,390931008,73.000,72.000,178,6480,0.027469,195,1.1,NaN,NaN,NaN,NaN
General practice physical activity questionnaire physical activity index: inactive,366121000000108,72.000,72.000,176,6480,0.02716,186,1.06,NaN,NaN,NaN,NaN
Follow-up arranged,183616001,77.000,76.000,176,6480,0.02716,326,1.85,NaN,NaN,NaN,NaN
Cancer information offered,1103861000000107,73.000,73.000,175,6480,0.027006,193,1.1,NaN,NaN,NaN,NaN
Diabetic monitoring,170742000,70.000,69.000,174,6480,0.026852,229,1.32,NaN,NaN,NaN,NaN
Drug side effects checked,408356009,76.000,75.000,174,6480,0.026852,187,1.07,NaN,NaN,NaN,NaN
GPPAQ not in employment,1746171000006105,75.000,74.000,173,6480,0.026698,183,1.06,NaN,NaN,NaN,NaN
Enhanced review indicated before granting access to own health record,1364731000000104,76.000,76.000,172,6480,0.026543,185,1.08,NaN,NaN,NaN,NaN
Alcohol intake,160573003,74.000,73.000,172,6480,0.026543,197,1.15,3.935751295,0,7.692550277,0
Fast track referral,38661000000100,71.000,71.000,171,6480,0.026389,181,1.06,NaN,NaN,NaN,NaN
Alcohol use disorders identification test score,443280005,72.000,71.000,171,6480,0.026389,182,1.06,NaN,3,NaN,0
Choose and book referral,343121000000108,75.500,75.000,171,6480,0.026389,220,1.29,NaN,NaN,NaN,NaN
Asthma control test score,443117005,74.000,74.000,170,6480,0.026235,212,1.25,20.666666667,22,4.11485587,25
SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) RNA (ribonucleic acid) detection result negative,1324581000000102,70.000,69.000,170,6480,0.026235,423,2.49,NaN,NaN,NaN,NaN
Consent given for communication by text messaging,699237001,70.000,69.000,170,6480,0.026235,178,1.05,NaN,NaN,NaN,NaN
Cystoscopy,386745004,77.000,77.000,169,6480,0.02608,184,1.09,NaN,NaN,NaN,NaN
Calcium adjusted level,998341000000105,75.000,74.000,169,6480,0.02608,226,1.34,2.371026786,2.37,0.112558183,2.27
Serum protein electrophoresis,1022181000000102,77.000,77.000,168,6480,0.025926,191,1.14,NaN,NaN,NaN,NaN
Had a chat to patient,183093006,70.000,70.000,167,6480,0.025772,238,1.43,NaN,NaN,NaN,NaN
Number of asthma exacerbations in past year,366874008,74.000,74.000,167,6480,0.025772,202,1.21,0.3553299492,0,0.7925897347,0
Refer to physiotherapist,308447003,70.000,69.500,167,6480,0.025772,200,1.2,NaN,NaN,NaN,NaN
Number of portions of fruit and vegetables daily,401070008,73.000,73.000,166,6480,0.025617,189,1.14,4.069518717,4,1.506431118,5
Smoker,77176002,67.000,66.000,166,6480,0.025617,248,1.49,NaN,10,NaN,10
Fast track cancer referral,199251000000107,74.000,74.000,165,6480,0.025463,187,1.13,NaN,NaN,NaN,NaN
QOF (Quality and Outcomes Framework) quality indicator-related care invitation,1109921000000106,76.000,75.000,164,6480,0.025309,246,1.5,NaN,NaN,NaN,NaN
QAdmissions risk of emergency hospital admission in next 12 months,878501000000100,73.000,73.000,163,6480,0.025154,434,2.66,13.255313225,10.1,11.114284077,12.6
Seen by optician,185307008,77.000,76.000,163,6480,0.025154,185,1.13,NaN,NaN,NaN,NaN
Lower respiratory tract infection,50417007,75.000,75.000,163,6480,0.025154,206,1.26,NaN,NaN,NaN,NaN
Structured medication review,1239511000000100,78.000,78.000,162,6480,0.025,179,1.1,NaN,NaN,NaN,NaN
Cancer care review,720006006,74.000,73.000,161,6480,0.024846,176,1.09,NaN,NaN,NaN,NaN
Sample culture,1010421000000103,72.000,71.000,160,6480,0.024691,262,1.64,NaN,NaN,,NaN
Seen in gastroenterology clinic,185245007,74.000,74.000,160,6480,0.024691,255,1.59,NaN,NaN,NaN,NaN
Forced vital capacity,50834005,71.000,71.000,160,6480,0.024691,180,1.13,5.271611111,2.99,27.261248842,3.92
Chronic kidney disease stage 3,433144002,77.000,77.000,159,6480,0.024537,205,1.29,NaN,NaN,NaN,NaN
Intramuscular injection of vitamin B12,308752009,77.000,76.000,158,6480,0.024383,543,3.44,NaN,NaN,NaN,NaN
Seen by ambulance crew,439811001,80.000,80.000,158,6480,0.024383,239,1.51,NaN,NaN,NaN,NaN
Serum free triiodothyronine level,1016961000000104,75.000,74.500,158,6480,0.024383,214,1.35,NaN,4.7,NaN,5.2
Suspected bladder cancer,315269000,75.000,75.000,157,6480,0.024228,209,1.33,NaN,NaN,NaN,NaN
Failed encounter - no answer when rang back,185337004,75.500,75.000,156,6480,0.024074,174,1.12,NaN,NaN,NaN,NaN
Seen in diabetic eye clinic,313340009,75.000,74.000,156,6480,0.024074,163,1.04,NaN,NaN,NaN,NaN
Seen in general surgery clinic,185262002,75.000,74.000,156,6480,0.024074,231,1.48,NaN,NaN,NaN,NaN
Blood oxygen saturation (calculated),1017311000000104,76.000,76.000,156,6480,0.024074,196,1.26,96.586734694,97,3.256177963,98
Chronic obstructive pulmonary disease assessment test score,446660005,77.000,77.000,156,6480,0.024074,191,1.22,16.279329609,16,9.062217379,9
Seen in ENT clinic,185223006,74.000,73.000,156,6480,0.024074,256,1.64,NaN,NaN,NaN,NaN
Shoulder pain,45326000,75.000,74.000,156,6480,0.024074,241,1.54,NaN,NaN,NaN,NaN
Atrial fibrillation,49436004,77.000,77.000,155,6480,0.02392,314,2.03,NaN,NaN,NaN,NaN
Discharged from inpatient care,183667003,74.000,73.000,155,6480,0.02392,220,1.42,NaN,NaN,NaN,NaN
Urine leucocyte test = +,394712000,74.000,74.000,155,6480,0.02392,168,1.08,NaN,NaN,NaN,NaN
Serum N-terminal pro B-type natriuretic peptide concentration,998431000000108,78.000,78.000,154,6480,0.023765,167,1.08,NaN,302.5,NaN,50
Good compliance with inhaler,390862006,75.000,74.000,154,6480,0.023765,174,1.13,NaN,NaN,NaN,NaN
Email encounter from third party,713776001,80.000,79.000,154,6480,0.023765,275,1.79,NaN,NaN,NaN,NaN
Urine leucocyte test = ++,394713005,74.000,74.000,152,6480,0.023457,169,1.11,NaN,NaN,NaN,NaN
Statin declined,134396000,75.000,74.000,152,6480,0.023457,160,1.05,NaN,NaN,NaN,NaN
Percent predicted FEV1,313223002,74.000,73.000,151,6480,0.023302,165,1.09,70.172207317,68,20.699875957,68
Asthma not disturbing sleep,170635006,70.000,69.000,151,6480,0.023302,165,1.09,NaN,NaN,NaN,NaN
Blood pressure monitoring,135840009,73.000,72.000,151,6480,0.023302,207,1.37,NaN,NaN,NaN,NaN
O/E - Vibration sense of left foot normal,308081000,73.000,73.000,151,6480,0.023302,167,1.11,NaN,NaN,NaN,NaN
Ultrasound scan,16310003,68.000,67.500,151,6480,0.023302,168,1.11,NaN,NaN,NaN,NaN
Emergency hospital admission,183452005,79.000,78.000,150,6480,0.023148,237,1.58,NaN,NaN,NaN,NaN
O/E - Vibration sense of right foot normal,308079002,73.000,72.000,150,6480,0.023148,167,1.11,NaN,NaN,NaN,NaN
"Urinary tract infection, site not specified",68566005,69.000,69.000,149,6480,0.022994,222,1.49,NaN,NaN,NaN,NaN
Microbiology,1022261000000104,71.000,70.000,149,6480,0.022994,291,1.95,NaN,NaN,NaN,NaN
Teetotaller,105542008,75.000,75.000,149,6480,0.022994,157,1.05,NaN,NaN,NaN,NaN
Statin prophylaxis,315053001,74.000,73.000,149,6480,0.022994,177,1.19,NaN,NaN,NaN,NaN
Has shown no side effects from medication,408508002,76.000,76.000,148,6480,0.02284,161,1.09,NaN,NaN,NaN,NaN
Seen in cardiac clinic,185228002,75.000,74.000,148,6480,0.02284,268,1.81,NaN,NaN,NaN,NaN
Medication review without patient,391156007,74.000,73.000,147,6480,0.022685,187,1.27,NaN,NaN,NaN,NaN
O/E - No right foot deformity,414903001,77.000,76.000,147,6480,0.022685,160,1.09,NaN,NaN,NaN,NaN
Drug compliance checked,408373006,76.000,76.000,147,6480,0.022685,166,1.13,NaN,NaN,NaN,NaN
Provision of chaperone refused,763380007,71.000,71.000,147,6480,0.022685,160,1.09,NaN,NaN,NaN,NaN
QRISK cardiovascular disease 10 year risk calculator score,763244005,66.000,66.000,147,6480,0.022685,186,1.27,21.555666667,20,10.927176827,26
Lower urinary tract symptoms,307541003,74.000,73.000,146,6480,0.022531,233,1.6,NaN,NaN,NaN,NaN
Dressing of wound,917991000006108,80.000,79.000,146,6480,0.022531,501,3.43,NaN,NaN,NaN,NaN
Patient identity verified,736728004,77.000,77.000,145,6480,0.022377,336,2.32,NaN,NaN,NaN,NaN
Abdomen examined - NAD,163133003,72.500,72.000,144,6480,0.022222,148,1.03,NaN,NaN,NaN,NaN
Constipation,14760008,76.000,76.000,144,6480,0.022222,201,1.4,NaN,NaN,NaN,NaN
Test result to patient by telephone,165357005,75.000,75.000,143,6480,0.022068,187,1.31,NaN,NaN,NaN,NaN
Patient given advice,183049006,72.000,72.000,143,6480,0.022068,240,1.68,NaN,NaN,NaN,NaN
Blood sample -> Lab NOS,165333005,71.000,71.000,142,6480,0.021914,281,1.98,NaN,NaN,NaN,NaN
A&E report,24561000000109,74.000,73.000,142,6480,0.021914,231,1.63,NaN,NaN,NaN,NaN
Chest pain,29857009,70.000,70.000,142,6480,0.021914,238,1.68,NaN,NaN,NaN,NaN
Biochemical test,1015791000000104,78.000,77.000,141,6480,0.021759,305,2.16,NaN,NaN,NaN,NaN
Dispensing review of use of medicines,1573061000006105,76.000,76.000,141,6480,0.021759,153,1.09,NaN,NaN,NaN,NaN
QOF (Quality and Outcomes Framework) non-diabetic hyperglycaemia quality indicator-related care invitation,148561000000109,77.000,77.000,140,6480,0.021605,202,1.44,NaN,NaN,NaN,NaN
Did not attend,410543007,69.000,69.000,140,6480,0.021605,201,1.44,NaN,NaN,NaN,NaN
Renal function tests,1015971000000100,74.000,73.000,140,6480,0.021605,228,1.63,NaN,NaN,NaN,NaN
Patient given advice about suitable footwear,248591000000100,76.000,76.000,140,6480,0.021605,151,1.08,NaN,NaN,NaN,NaN
Digital retinal screening,390852004,73.000,73.000,139,6480,0.021451,158,1.14,NaN,NaN,NaN,NaN
O/E - No left foot deformity,414900003,77.000,76.000,139,6480,0.021451,151,1.09,NaN,NaN,NaN,NaN
Immunoglobulins,997001000000108,77.000,77.000,138,6480,0.021296,156,1.13,NaN,NaN,NaN,NaN
DNA hospital appointment,314503007,63.000,62.000,138,6480,0.021296,175,1.27,NaN,NaN,NaN,NaN
Diabetic dietary review,754081000000109,73.000,72.000,138,6480,0.021296,159,1.15,NaN,NaN,NaN,NaN
Urine leucocyte test = +++,394714004,76.000,75.000,138,6480,0.021296,184,1.33,NaN,NaN,NaN,NaN
Letter encounter from patient,270424005,74.500,74.000,138,6480,0.021296,214,1.55,NaN,NaN,NaN,NaN
Patient's next of kin,184142008,76.500,76.000,138,6480,0.021296,144,1.04,NaN,NaN,NaN,NaN
Seen in oncology clinic,185270007,73.000,72.000,138,6480,0.021296,302,2.19,NaN,NaN,NaN,NaN
Diabetes self-management plan agreed,811981000000102,76.000,75.000,137,6480,0.021142,150,1.09,NaN,NaN,NaN,NaN
Type II diabetic dietary review,754121000000107,77.000,76.000,137,6480,0.021142,163,1.19,NaN,NaN,NaN,NaN
Knee pain,30989003,69.000,69.000,137,6480,0.021142,203,1.48,NaN,NaN,NaN,NaN
Asthma not limiting activities,170638008,69.000,68.000,137,6480,0.021142,149,1.09,NaN,NaN,NaN,NaN
ENT referral,183544005,73.000,73.000,136,6480,0.020988,146,1.07,NaN,NaN,NaN,NaN
Indication for each drug checked,408343002,76.000,76.000,136,6480,0.020988,155,1.14,NaN,NaN,NaN,NaN
O/E - right eye no maculopathy,414909002,75.000,75.000,136,6480,0.020988,141,1.04,NaN,NaN,NaN,NaN
Ex-cigarette smoker,281018007,74.000,73.000,135,6480,0.020833,150,1.11,NaN,15,NaN,20
Urology,394612005,75.000,74.000,135,6480,0.020833,229,1.7,NaN,NaN,NaN,NaN
Administration of medication under patient group direction,492811000000103,77.000,76.000,135,6480,0.020833,153,1.13,NaN,NaN,NaN,NaN
Monofilament foot sensation test,134388005,72.000,71.000,135,6480,0.020833,151,1.12,NaN,NaN,NaN,NaN
Referral letter sent by email,928991000000107,78.000,78.000,133,6480,0.020525,177,1.33,NaN,NaN,NaN,NaN
Ex-moderate cigarette smoker (10-19/day),266923002,73.000,72.000,133,6480,0.020525,154,1.16,NaN,NaN,NaN,NaN
Refer for ultrasound investigation,183831007,71.000,70.000,133,6480,0.020525,150,1.13,NaN,NaN,NaN,NaN
"Microscopy, culture and sensitivities",1015411000000100,70.000,70.000,133,6480,0.020525,251,1.89,NaN,NaN,NaN,NaN
Letter encounter to patient,185321005,75.000,74.000,132,6480,0.02037,185,1.4,NaN,NaN,NaN,NaN
Moderate frailty,925831000000107,79.000,79.000,132,6480,0.02037,157,1.19,NaN,NaN,,NaN
Seen by retinal screener,390856001,74.500,74.000,130,6480,0.020062,134,1.03,NaN,NaN,NaN,NaN
Urine sent for culture,168338000,73.500,73.500,130,6480,0.020062,196,1.51,NaN,NaN,NaN,NaN
Community clinic,310391008,78.000,78.000,129,6480,0.019907,183,1.42,NaN,NaN,NaN,NaN
O/E - left eye no maculopathy,414893009,75.000,74.000,129,6480,0.019907,133,1.03,NaN,NaN,NaN,NaN
MRC Breathlessness Scale: grade 2,391123006,76.000,76.000,129,6480,0.019907,145,1.12,NaN,NaN,NaN,NaN
Diet good,310500000,76.000,75.000,129,6480,0.019907,138,1.07,NaN,NaN,NaN,NaN
Irrigation of external auditory canal for removal of wax,172630005,76.000,75.000,129,6480,0.019907,151,1.17,NaN,NaN,NaN,NaN
Advice about foot care,385956002,73.000,72.000,128,6480,0.019753,139,1.09,NaN,NaN,NaN,NaN
Email encounter,1995221000006109,79.000,78.000,128,6480,0.019753,172,1.34,NaN,NaN,NaN,NaN
