TERM,SNOMED_ID,MEDIAN_SNOMED_AGE,N_PATIENT_COUNT,N_PATIENT_COUNT_TOTAL,PREVALENCE,TOTAL_EVENT_COUNT,AVG_EVENTS_PER_PATIENT,AVG_VALUE,MEDIAN_VALUE,STD_VALUE,FREQ_VALUE
O/E - Vibration sense of right foot normal,308079002,69.000,6706,277829,0.024137,7200,1.07,NaN,NaN,NaN,NaN
O/E - Vibration sense of left foot normal,308081000,69.000,6686,277829,0.024065,7180,1.07,NaN,NaN,NaN,NaN
Shoulder pain,45326000,69.000,6658,277829,0.023964,10085,1.51,NaN,NaN,NaN,NaN
Standard ECG,164847006,69.000,6625,277829,0.023846,7379,1.11,NaN,NaN,NaN,NaN
Consent given for communication by text messaging,699237001,69.000,6611,277829,0.023795,7056,1.07,NaN,NaN,NaN,NaN
Alcohol use disorders identification test score,443280005,69.000,6569,277829,0.023644,6989,1.06,NaN,2,NaN,0
Number of portions of fruit and vegetables daily,401070008,69.000,6555,277829,0.023594,7395,1.13,4.160124526,5,1.42594235,5
E-mail sent to patient,401271004,69.000,6502,277829,0.023403,28852,4.44,NaN,NaN,NaN,NaN
Diabetes monitoring first letter,185756006,69.000,6480,277829,0.023324,7923,1.22,NaN,NaN,NaN,NaN
Knee pain,30989003,69.000,6445,277829,0.023198,9615,1.49,NaN,NaN,NaN,NaN
Monofilament foot sensation test,134388005,69.000,6240,277829,0.02246,6750,1.08,NaN,NaN,NaN,NaN
Teetotaller,105542008,69.000,6220,277829,0.022388,6873,1.1,NaN,NaN,NaN,NaN
GPPAQ usual level of walking pace - steady,1746511000006109,69.000,6174,277829,0.022222,6394,1.04,NaN,NaN,NaN,NaN
Alcohol intake,160573003,69.000,6114,277829,0.022006,7001,1.15,NaN,0,NaN,0
Number of chronic obstructive pulmonary disease exacerbations in past year,723245007,69.000,6106,277829,0.021978,7086,1.16,NaN,0,NaN,0
General practice physical activity questionnaire physical activity index: active,366241000000106,69.000,6096,277829,0.021942,6295,1.03,NaN,NaN,NaN,NaN
Bowel cancer screening programme,286901000000107,69.000,6044,277829,0.021754,6362,1.05,NaN,NaN,NaN,NaN
International normalised ratio,165581004,69.000,6023,277829,0.021679,41410,6.88,NaN,2.4,NaN,2.4
Seen in ENT clinic,185223006,69.000,5991,277829,0.021564,9411,1.57,NaN,NaN,NaN,NaN
Medication review without patient,391156007,69.000,5977,277829,0.021513,7653,1.28,NaN,NaN,NaN,NaN
Current smoker,854071000006103,69.000,5972,277829,0.021495,7667,1.28,NaN,10,NaN,10
Urine leucocyte test = negative,394717006,69.000,5868,277829,0.021121,6836,1.16,NaN,NaN,NaN,NaN
Had a chat to patient,183093006,69.000,5858,277829,0.021085,8198,1.4,NaN,NaN,NaN,NaN
Seen in cardiology clinic,185228002,69.000,5843,277829,0.021031,10185,1.74,NaN,NaN,NaN,NaN
Non high density lipoprotein cholesterol level,1030411000000101,69.000,5837,277829,0.021009,7067,1.21,NaN,3.1,NaN,2.8
Email sent to patient,401271004,69.000,5765,277829,0.02075,13452,2.33,NaN,NaN,NaN,NaN
IgA,997031000000102,69.000,5758,277829,0.020725,6401,1.11,NaN,2.4,NaN,2.3
Seen in dermatology clinic,270422009,69.000,5753,277829,0.020707,9456,1.64,NaN,NaN,NaN,NaN
Epithelial cell count,992871000000105,69.000,5749,277829,0.020693,8662,1.51,NaN,9,NaN,NaN
Statin prophylaxis,315053001,69.000,5742,277829,0.020667,7626,1.33,NaN,NaN,NaN,NaN
Seen by optician,185307008,69.000,5687,277829,0.020469,6355,1.12,NaN,NaN,NaN,NaN
Seen in diabetic eye clinic,313340009,69.000,5666,277829,0.020394,6087,1.07,NaN,NaN,NaN,NaN
Seen in gastroenterology clinic,185245007,69.000,5663,277829,0.020383,9415,1.66,NaN,NaN,NaN,NaN
Skin lesion,95324001,69.000,5657,277829,0.020361,7583,1.34,NaN,NaN,NaN,NaN
Serum 25-Hydroxyvitamin D3 level,1001211000000100,69.000,5649,277829,0.020333,6418,1.14,NaN,60.1,NaN,NaN
Forced vital capacity,50834005,69.000,5615,277829,0.02021,6327,1.13,NaN,2.61,NaN,2
Review of patient goals,775501000000108,69.000,5607,277829,0.020181,7137,1.27,NaN,NaN,NaN,NaN
Lower respiratory tract infection,50417007,69.000,5583,277829,0.020095,7196,1.29,NaN,NaN,NaN,NaN
Image (document),25831000000103,69.000,5578,277829,0.020077,21630,3.88,NaN,NaN,NaN,NaN
Asthma management,406162001,69.000,5575,277829,0.020066,6171,1.11,NaN,NaN,NaN,NaN
Seen in urology clinic,185220009,69.000,5550,277829,0.019976,10258,1.85,NaN,NaN,NaN,NaN
Open access service,310065000,69.000,5527,277829,0.019894,5987,1.08,NaN,NaN,NaN,NaN
Ophthalmological referral,183543004,69.000,5525,277829,0.019886,6172,1.12,NaN,NaN,NaN,NaN
Email sent to outside agency,408562003,69.000,5518,277829,0.019861,8933,1.62,NaN,NaN,NaN,NaN
Intramuscular injection of vitamin B12,308752009,69.000,5498,277829,0.019789,18611,3.39,NaN,NaN,NaN,NaN
Quantitative faecal immunochemical test,1049361000000101,69.000,5483,277829,0.019735,6191,1.13,NaN,5,NaN,2
12 lead ECG,268400002,69.000,5480,277829,0.019724,5987,1.09,NaN,NaN,NaN,NaN
Enhanced review indicated before granting access to own health record,1364731000000104,69.000,5462,277829,0.01966,5884,1.08,NaN,NaN,NaN,NaN
Statin declined,134396000,69.000,5461,277829,0.019656,6004,1.1,NaN,NaN,NaN,NaN
Digital retinal screening,390852004,69.000,5427,277829,0.019534,5961,1.1,NaN,NaN,NaN,NaN
Osteoarthritis of knee,239873007,69.000,5379,277829,0.019361,8449,1.57,NaN,NaN,NaN,NaN
Discharged from hospital,183665006,69.000,5358,277829,0.019285,7150,1.33,NaN,NaN,NaN,NaN
Heart rate,364075005,69.000,5323,277829,0.019159,6385,1.2,NaN,77,NaN,80
Good compliance with inhaler,390862006,69.000,5317,277829,0.019138,5800,1.09,NaN,NaN,NaN,NaN
General practice physical activity questionnaire physical activity index: moderately active,366211000000105,69.000,5308,277829,0.019105,5478,1.03,NaN,NaN,NaN,NaN
Serum creatine kinase level,1000931000000105,69.000,5279,277829,0.019001,6332,1.2,NaN,103,NaN,NaN
O/E - left foot pulses present,390888009,69.000,5246,277829,0.018882,5656,1.08,NaN,NaN,NaN,NaN
Blood pressure monitoring,135840009,69.000,5227,277829,0.018814,6985,1.34,NaN,NaN,NaN,NaN
Sample microscopy: red cells,999131000000106,69.000,5204,277829,0.018731,8098,1.56,NaN,10,NaN,0
Seen by retinal screener,390856001,69.000,5204,277829,0.018731,5524,1.06,NaN,NaN,NaN,NaN
Diabetic dietary review,754081000000109,69.000,5200,277829,0.018717,6210,1.19,NaN,NaN,NaN,NaN
Sample microscopy: leucocytes,999291000000102,69.000,5195,277829,0.018699,8086,1.56,NaN,71,NaN,0
Asthma never causes daytime symptoms,370208006,69.000,5186,277829,0.018666,5654,1.09,NaN,NaN,NaN,NaN
O/E - right eye no maculopathy,414909002,69.000,5165,277829,0.018591,5338,1.03,NaN,NaN,NaN,NaN
Asthma self-management plan agreed,811921000000103,69.000,5138,277829,0.018493,5584,1.09,NaN,NaN,NaN,NaN
Patient given advice,183049006,69.000,5127,277829,0.018454,7157,1.4,NaN,NaN,NaN,NaN
Has shown no side effects from medication,408508002,69.000,5110,277829,0.018393,5636,1.1,NaN,NaN,NaN,NaN
O/E - left eye no maculopathy,414893009,69.000,5054,277829,0.018191,5224,1.03,NaN,NaN,NaN,NaN
SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) RNA (ribonucleic acid) detection result negative,1324581000000102,69.000,5026,277829,0.01809,12066,2.4,NaN,NaN,NaN,NaN
O/E - right foot pulses present,390889001,69.000,5008,277829,0.018025,5404,1.08,NaN,NaN,NaN,NaN
Renal function tests,1015971000000100,69.000,5006,277829,0.018018,7127,1.42,NaN,NaN,NaN,NaN
Seen in rheumatology clinic,185227007,69.000,4962,277829,0.01786,9721,1.96,NaN,NaN,NaN,NaN
Percent predicted FEV1,313223002,69.000,4941,277829,0.017784,5599,1.13,72.468701257,72,28.274056982,64
Serum glucose level,1010611000000107,69.000,4908,277829,0.017666,5682,1.16,NaN,5.4,NaN,5
Dispensing review of use of medicines,1573061000006105,69.000,4868,277829,0.017522,5348,1.1,NaN,NaN,NaN,NaN
Blood sample -> Lab NOS,165333005,69.000,4853,277829,0.017468,8067,1.66,NaN,NaN,NaN,NaN
Seen in diabetic clinic,185229005,69.000,4847,277829,0.017446,7527,1.55,NaN,NaN,NaN,NaN
Advice on foreign travel,171071003,69.000,4843,277829,0.017432,5863,1.21,NaN,NaN,NaN,NaN
IgM,997021000000104,69.000,4842,277829,0.017428,5395,1.11,NaN,0.8,NaN,0.5
Enhanced services administration,166221000000105,69.000,4808,277829,0.017306,8160,1.7,NaN,NaN,NaN,NaN
IgG,997011000000105,69.000,4792,277829,0.017248,5335,1.11,NaN,10.85,NaN,9.9
Asthma medication review,394720003,69.000,4787,277829,0.01723,5359,1.12,NaN,NaN,NaN,NaN
GPPAQ hrs in last wk spent on house work/child care-3hrs or more,1746431000006102,69.000,4775,277829,0.017187,4910,1.03,NaN,NaN,NaN,NaN
Influenza vaccination invitation letter sent,315641001,69.000,4766,277829,0.017154,5199,1.09,NaN,NaN,NaN,NaN
GPPAQ hours in last week spent in physical exercise - none,1746241000006106,69.000,4715,277829,0.016971,4883,1.04,NaN,NaN,NaN,NaN
No family history diabetes,160274005,69.000,4633,277829,0.016676,4903,1.06,NaN,NaN,NaN,NaN
Irrigation of external auditory canal for removal of wax,172630005,69.000,4632,277829,0.016672,5765,1.24,NaN,NaN,NaN,NaN
Serum iron level,1019351000000105,69.000,4628,277829,0.016658,5528,1.19,NaN,14,NaN,15
Urine microalbumin profile,994621000000103,69.000,4611,277829,0.016597,5665,1.23,NaN,NaN,NaN,NaN
Acute kidney injury warning stage,1007921000000107,69.000,4606,277829,0.016579,6999,1.52,NaN,0,NaN,0
ENT referral,183544005,69.000,4574,277829,0.016463,5253,1.15,NaN,NaN,NaN,NaN
Seen in cardiac clinic,185228002,69.000,4541,277829,0.016345,8284,1.82,NaN,NaN,NaN,NaN
Drug side effects checked,408356009,69.000,4528,277829,0.016298,4945,1.09,NaN,NaN,NaN,NaN
Abdominal pain,21522001,69.000,4527,277829,0.016294,6719,1.48,NaN,NaN,NaN,NaN
Lifestyle advice regarding hypertension,443402002,69.000,4526,277829,0.016291,5067,1.12,NaN,NaN,NaN,NaN
Lloyd George record status,18321000000106,69.000,4524,277829,0.016283,4839,1.07,NaN,NaN,NaN,NaN
Diabetes self-management plan agreed,811981000000102,69.000,4520,277829,0.016269,5329,1.18,NaN,NaN,NaN,NaN
Urine sample sent to Lab,165339009,69.000,4516,277829,0.016255,5201,1.15,NaN,NaN,NaN,NaN
Using inhaled steroids - normal dose,170661005,69.000,4513,277829,0.016244,5008,1.11,NaN,NaN,NaN,NaN
No known allergy,716186003,69.000,4474,277829,0.016103,4767,1.07,NaN,NaN,NaN,NaN
ECG normal,164854000,69.000,4455,277829,0.016035,4681,1.05,NaN,NaN,NaN,NaN
Letter sent to consultant,2041000000102,69.000,4445,277829,0.015999,5367,1.21,NaN,NaN,NaN,NaN
QOF (Quality and Outcomes Framework) quality indicator-related care invitation,1109921000000106,69.000,4427,277829,0.015934,7155,1.62,NaN,NaN,NaN,NaN
Coronary heart disease annual review,315614006,69.000,4418,277829,0.015902,4789,1.08,NaN,NaN,NaN,NaN
FEV1/FVC percent,313222007,69.000,4393,277829,0.015812,4962,1.13,NaN,68,NaN,74
Seen in minor injuries department,113091000000109,69.000,4385,277829,0.015783,5691,1.3,NaN,NaN,NaN,NaN
Seen by ophthalmologist,305721007,69.000,4380,277829,0.015765,6872,1.57,NaN,NaN,NaN,NaN
Type II diabetic dietary review,754121000000107,69.000,4379,277829,0.015761,5020,1.15,NaN,NaN,NaN,NaN
Hip pain,49218002,69.000,4346,277829,0.015643,6384,1.47,NaN,NaN,NaN,NaN
Estimated creatinine clearance (Cockcroft-Gault formula),968191000000100,69.000,4319,277829,0.015546,5989,1.39,83.992827598,80.9155,30.31573768,40.029
Packed cell volume,1022291000000105,69.000,4316,277829,0.015535,6282,1.46,0.8533603891,0.409,4.142434346,0.4
Plain X-ray knee,74016001,69.000,4306,277829,0.015499,4485,1.04,NaN,NaN,NaN,NaN
Consultation,325851000000107,69.000,4293,277829,0.015452,12659,2.95,NaN,NaN,NaN,NaN
Patient's next of kin,184142008,69.000,4291,277829,0.015445,4533,1.06,NaN,NaN,NaN,NaN
DNA hospital appointment,314503007,69.000,4288,277829,0.015434,5171,1.21,NaN,NaN,NaN,NaN
Did not attend,410543007,69.000,4255,277829,0.015315,5519,1.3,NaN,NaN,NaN,NaN
Under care of retinal screener,408393003,69.000,4226,277829,0.015211,4986,1.18,NaN,NaN,NaN,NaN
Current non-smoker,160618006,69.000,4202,277829,0.015124,4817,1.15,NaN,NaN,NaN,NaN
Chest pain,29857009,69.000,4197,277829,0.015106,5907,1.41,NaN,NaN,NaN,NaN
OOH report,25781000000108,69.000,4193,277829,0.015092,5286,1.26,NaN,NaN,NaN,NaN
Chesty cough,161929000,69.000,4177,277829,0.015034,5266,1.26,NaN,NaN,NaN,NaN
Minor surgery done - injection,270224008,69.000,4174,277829,0.015024,5590,1.34,NaN,NaN,NaN,NaN
Diet education,11816003,69.000,4171,277829,0.015013,4661,1.12,NaN,NaN,NaN,NaN
Drug compliance checked,408373006,69.000,4153,277829,0.014948,5343,1.29,NaN,NaN,NaN,NaN
Health education - alcohol,408947007,69.000,4152,277829,0.014944,4626,1.11,NaN,NaN,NaN,NaN
25-Hydroxyvitamin D2 level,997751000000106,69.000,4131,277829,0.014869,4667,1.13,NaN,1,NaN,1
Diabetes: practice programme,170774007,69.000,4116,277829,0.014815,5475,1.33,NaN,NaN,NaN,NaN
Cancer safety netting,1239431000000107,69.000,4109,277829,0.01479,4704,1.14,NaN,NaN,NaN,NaN
Smoking monitoring invitation,310429001,69.000,4094,277829,0.014736,4877,1.19,NaN,NaN,NaN,NaN
Administration of medication under patient group direction,492811000000103,69.000,4089,277829,0.014718,4323,1.06,NaN,NaN,NaN,NaN
NHS Health Check invitation first letter,1728691000006102,69.000,4049,277829,0.014574,4320,1.07,NaN,NaN,NaN,NaN
Blood oxygen saturation,103228002,69.000,4038,277829,0.014534,5240,1.3,NaN,98,NaN,98
Seen in GP's surgery,185202000,69.000,4034,277829,0.01452,14129,3.5,NaN,NaN,NaN,NaN
Indication for each drug checked,408343002,69.000,4030,277829,0.014505,4361,1.08,NaN,NaN,NaN,NaN
Failed encounter - no answer when rang back,185337004,69.000,4011,277829,0.014437,4614,1.15,NaN,NaN,NaN,NaN
Diet good,310500000,69.000,4002,277829,0.014405,4259,1.06,NaN,NaN,NaN,NaN
Transferrin saturation index,991831000000103,69.000,3997,277829,0.014387,4752,1.19,NaN,23,NaN,22
Advice about foot care,385956002,69.000,3992,277829,0.014369,4437,1.11,NaN,NaN,NaN,NaN
O/E - visual acuity R-eye =6/9,163938008,69.000,3981,277829,0.014329,4199,1.05,NaN,NaN,NaN,NaN
MRC Breathlessness Scale: grade 2,391123006,69.000,3978,277829,0.014318,4425,1.11,NaN,NaN,NaN,NaN
Self-monitoring of blood glucose,308113006,69.000,3944,277829,0.014196,5019,1.27,NaN,NaN,NaN,NaN
Invitation to participate in research study,871271000000102,69.000,3942,277829,0.014189,4925,1.25,NaN,39973,NaN,0
Wax in ear,271739002,69.000,3937,277829,0.014171,5353,1.36,NaN,NaN,NaN,NaN
Copy of letter from specialist to patient,440168007,69.000,3934,277829,0.01416,5763,1.46,NaN,NaN,NaN,NaN
Serum N-terminal pro B-type natriuretic peptide concentration,998431000000108,69.000,3932,277829,0.014153,4202,1.07,NaN,111,NaN,50
Ex-cigarette smoker,281018007,69.000,3925,277829,0.014127,4210,1.07,NaN,10,NaN,10
Medication review done by pharmacist,719329004,69.000,3899,277829,0.014034,4467,1.15,NaN,NaN,NaN,NaN
O/E - visual acuity L-eye =6/9,163952005,69.000,3891,277829,0.014005,4096,1.05,NaN,NaN,NaN,NaN
QOF (Quality and Outcomes Framework) non-diabetic hyperglycaemia quality indicator-related care invitation,148561000000109,69.000,3888,277829,0.013994,5938,1.53,NaN,NaN,NaN,NaN
No cough,161922009,69.000,3877,277829,0.013955,4560,1.18,NaN,NaN,NaN,NaN
Peak flow rate before bronchodilation,271529005,69.000,3874,277829,0.013944,4363,1.13,341.656501498,340,109.661406799,350
Test result to patient by telephone,165357005,69.000,3868,277829,0.013922,4970,1.28,NaN,NaN,NaN,NaN
"Urinary microscopy, culture and sensitivities",995581000000104,69.000,3865,277829,0.013911,5769,1.49,NaN,NaN,NaN,NaN
Chronic obstructive pulmonary disease assessment test score,446660005,69.000,3811,277829,0.013717,4430,1.16,NaN,13,NaN,8
Letter encounter from patient,270424005,69.000,3807,277829,0.013703,4979,1.31,NaN,NaN,NaN,NaN
25-Hydroxyvitamin D3 level,997741000000108,69.000,3803,277829,0.013688,4309,1.13,NaN,55,NaN,57
Referral to musculoskeletal clinic,413159000,69.000,3800,277829,0.013677,4584,1.21,NaN,NaN,NaN,NaN
Rheumatoid factor,992081000000101,69.000,3780,277829,0.013605,4005,1.06,NaN,10,NaN,10
O/E - No right foot deformity,414903001,69.000,3774,277829,0.013584,3975,1.05,NaN,NaN,NaN,NaN
Ex-moderate cigarette smoker (10-19/day),266923002,69.000,3765,277829,0.013552,4324,1.15,NaN,NaN,NaN,NaN
Patient identity verified,736728004,69.000,3760,277829,0.013534,6599,1.76,NaN,NaN,NaN,NaN
On examination - right-leg pulses all present,163101007,69.000,3754,277829,0.013512,4138,1.1,NaN,NaN,NaN,NaN
Additional note,37361000000105,69.000,3745,277829,0.01348,9252,2.47,NaN,NaN,NaN,NaN
Upper respiratory infection,54150009,69.000,3730,277829,0.013426,4258,1.14,NaN,NaN,NaN,NaN
Structured medication review,1239511000000100,69.000,3725,277829,0.013408,4073,1.09,NaN,NaN,NaN,NaN
Calcium adjusted level,998341000000105,69.000,3724,277829,0.013404,4543,1.22,2.380919744,2.38,0.1250052399,2.42
Blood sample sent to biochemistry laboratory,165336002,69.000,3711,277829,0.013357,5851,1.58,NaN,NaN,NaN,NaN
Serum vitamin D level,1031181000000107,69.000,3706,277829,0.013339,4175,1.13,NaN,52,NaN,NaN
Prothrombin time,852471000000107,69.000,3702,277829,0.013325,6054,1.64,NaN,13.5,NaN,10.3
ECG,46825001,69.000,3693,277829,0.013292,4133,1.12,NaN,NaN,NaN,NaN
Asthma monitoring check done,270442000,69.000,3690,277829,0.013282,4277,1.16,NaN,NaN,NaN,NaN
NHS Health Check invitation short message service text message,980641000000103,69.000,3653,277829,0.013148,4895,1.34,NaN,NaN,NaN,NaN
Chronic kidney disease stage 3,433144002,69.000,3647,277829,0.013127,4897,1.34,NaN,NaN,NaN,NaN
Biochemical test,1015791000000104,69.000,3646,277829,0.013123,6151,1.69,NaN,NaN,NaN,NaN
O/E - No left foot deformity,414900003,69.000,3641,277829,0.013105,3830,1.05,NaN,NaN,NaN,NaN
Diabetic foot care education,923361000000106,69.000,3637,277829,0.013091,3974,1.09,NaN,NaN,NaN,NaN
GPPAQ hours in last week spent gardening/DIY - none,1746451000006109,69.000,3634,277829,0.01308,3776,1.04,NaN,NaN,NaN,NaN
On examination - left leg pulses all present,163113002,69.000,3614,277829,0.013008,3980,1.1,NaN,NaN,NaN,NaN
Serum transferrin level,999641000000109,69.000,3603,277829,0.012968,4277,1.19,NaN,2.61,NaN,2.4
Neck pain,81680005,69.000,3600,277829,0.012958,5015,1.39,NaN,NaN,NaN,NaN
Seen in neurology clinic,185230000,69.000,3596,277829,0.012943,6344,1.76,NaN,NaN,NaN,NaN
Mild frailty,925791000000100,69.000,3581,277829,0.012889,3940,1.1,NaN,NaN,NaN,NaN
Pre-diabetes,858301000000107,69.000,3576,277829,0.012871,4616,1.29,NaN,NaN,NaN,NaN
Spacer device in use,313149002,69.000,3564,277829,0.012828,3918,1.1,NaN,NaN,NaN,NaN
Patient Health Questionnaire Nine Item score,720433000,69.000,3562,277829,0.012821,4219,1.18,NaN,1,NaN,0
Face to face consultation,1672851000006100,69.000,3561,277829,0.012817,5476,1.54,NaN,NaN,NaN,NaN
No breathlessness,161938003,69.000,3553,277829,0.012788,3908,1.1,NaN,NaN,NaN,NaN
Diabetes structured education programme declined,306591000000103,69.000,3544,277829,0.012756,4014,1.13,NaN,NaN,NaN,NaN
Serum fasting glucose level,1003131000000101,69.000,3522,277829,0.012677,4174,1.19,NaN,5.3,NaN,5.1
Total bilirubin level,1026761000000106,69.000,3516,277829,0.012655,4531,1.29,NaN,10,NaN,9
Diabetic on diet only,170745003,69.000,3508,277829,0.012626,4339,1.24,NaN,NaN,NaN,NaN
Diabetes type 2 review,279321000000104,69.000,3505,277829,0.012616,4323,1.23,NaN,NaN,NaN,NaN
Patient-initiated diet,160660005,69.000,3504,277829,0.012612,3891,1.11,NaN,NaN,NaN,NaN
Enhanced review not indicated before granting access to own health record,1364751000000106,69.000,3500,277829,0.012598,3780,1.08,NaN,NaN,NaN,NaN
"CHA2DS2-VASc (congestive heart failure, hypertension, age 2, diabetes mellitus, stroke 2, vascular disease, age, sex category) stroke risk score",735259005,69.000,3490,277829,0.012562,4114,1.18,NaN,2,NaN,2
Exercise grading,160628002,69.000,3476,277829,0.012511,3910,1.12,NaN,NaN,NaN,NaN
Dressing of wound,917991000006108,69.000,3471,277829,0.012493,12407,3.57,NaN,NaN,NaN,NaN
Choose and book referral,343121000000108,69.000,3443,277829,0.012393,4380,1.27,NaN,NaN,NaN,NaN
Seen in general surgery clinic,185262002,69.000,3429,277829,0.012342,4738,1.38,NaN,NaN,NaN,NaN
General practice physical activity questionnaire physical activity index: moderately inactive,366171000000107,69.000,3427,277829,0.012335,3540,1.03,NaN,NaN,NaN,NaN
FH: Diabetes mellitus,160303001,69.000,3403,277829,0.012249,3609,1.06,NaN,NaN,NaN,NaN
O/E - vibration sense normal,163744002,69.000,3400,277829,0.012238,3688,1.08,NaN,NaN,NaN,NaN
Low fat diet,16208003,69.000,3390,277829,0.012202,3739,1.1,NaN,NaN,NaN,NaN
Diabetes monitoring invitation by short message service text messaging,705072004,69.000,3387,277829,0.012191,4939,1.46,NaN,NaN,NaN,NaN
